name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
Saravana Bhavan,Casual Dining,"50, Janpath, New Delhi",New Delhi,Janpath,28.62699357,77.21955199,"Janpath, New Delhi","South Indian, Desserts, Beverages",8 AM to 10:45 PM,500,2,"Takeaway Available', 'No Alcohol Available', 'Dinner', 'Cash', 'Debit Card', 'Breakfast', 'Lunch', 'Credit Card', 'Delivery', 'Serves Jain Food', 'Air Conditioned', 'Pure Veg', 'Indoor Seating",4.3,Very Good,2865,2699,-1,-1
Lord Of The Drinks Forum,Lounge,"Upper Ground Floor, Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi",New Delhi,"Epicuria Food Mall, Nehru Place",28.55109969,77.2522974,"Epicuria Food Mall, Nehru Place, New Delhi","European, Chinese, North Indian, Italian, Momos",11 AM to 12:45 AM,2000,4,"Dinner', 'Cash', 'Credit Card', 'Lunch', 'Mall Parking', 'Debit Card', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Sneakpeek', 'Fullbar', 'Live Music', 'Table booking recommended', 'Hookah', 'Wifi",4.4,Very Good,3969,3354,-1,-1
Burma Burma,Casual Dining,"S 25, Second Floor, A 3, Select Citywalk Mall, Saket, New Delhi",New Delhi,"Select Citywalk Mall, Saket",28.52850531,77.21873324,"Select Citywalk Mall, Saket, New Delhi","Asian, Burmese","12Noon to 3:30PM, 6:45PM to 11PM (Mon-Thu),12Noon to 11PM (Fri-Sun)",1500,3,"Lunch', 'Cash', 'Dinner', 'Mall Parking', 'Credit Card', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Air Conditioned', 'Pure Veg', 'Kid Friendly', 'Sneakpeek', 'Table booking recommended', 'Serves Jain Food', 'Wifi', 'Indoor Seating",4.6,Excellent,1564,3257,-1,-1
RP's Restaurant,Casual Dining,"50-D, Savitri Nagar, Main Road, Malviya Nagar, New Delhi",New Delhi,Malviya Nagar,28.54052118,77.21828464,"Malviya Nagar, New Delhi","Mughlai, North Indian, Chinese",8am to 2am (Mon-Sun),850,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Axis Bank - Dining Delights', 'Air Conditioned",4,Very Good,1465,324,1,-1
Gulati,Casual Dining,"6, Pandara Road Market, New Delhi",New Delhi,Pandara Road Market,28.6080761,77.2298157,"Pandara Road Market, New Delhi","North Indian, Mughlai, Kebab",12 Noon to 12 Midnight,2500,4,"Lunch', 'Cash', 'Delivery', 'Credit Card', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wheelchair Accessible', 'Buffet",4.5,Excellent,6175,2466,-1,-1
Nehru Place Social,Lounge,"R - 1, Upper Ground Floor, Epicuria Food Mall, Nehru Place, New Delhi",New Delhi,"Epicuria Food Mall, Nehru Place",28.55145722,77.25141831,"Epicuria Food Mall, Nehru Place, New Delhi","Continental, American, Asian, North Indian","10:30am to 1am (Mon, Tue, Thu, Fri, Sat, Sun), 10:30am to 12:30am (Wed)",1300,3,"Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Mall Parking', 'Takeaway Available', 'Debit Card', 'DJ', 'Nightlife', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Restricted Entry', 'Smoking Area",4.5,Excellent,2683,3625,-1,-1
Verandah Moonshine,Casual Dining,"2/85, 3rd Floor, West Punjabi Bagh Club Road, Punjabi Bagh, New Delhi",New Delhi,Punjabi Bagh,28.666569,77.122502,"Punjabi Bagh, New Delhi","North Indian, Mediterranean",12 Noon to 1 AM,1500,3,"Lunch', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Valet Parking Available', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted",4.3,Very Good,981,2186,-1,-1
Farzi Cafe,Casual Dining,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63295103,77.22019102,"Connaught Place, New Delhi",Modern Indian,12 Noon to 1 AM (Mon-Sun),2500,4,"Dinner', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Live Music', 'Table booking recommended', 'Wifi",4.3,Very Good,3978,10522,-1,-1
Biryani Blues,Casual Dining,"Showroom 9, Scindia House, Connaught Circus, Connaught Place, New Delhi",New Delhi,Connaught Place,28.62994791,77.22051457,"Connaught Place, New Delhi","Biryani, Hyderabadi",11am to 12midnight (Mon-Sun),700,2,"Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Digital Payments Accepted', 'Table Reservation Not Required",4,Very Good,2082,1788,-1,-1
CIA Call it Asiian,Casual Dining,"13/14/15/16, Narmada Shopping Complex, Opposite Don Bosco School, Alaknanda Road, Greater Kailash 2 (GK 2), New Delhi",New Delhi,Greater Kailash 2 (GK2),28.52773472,77.24677943,"Greater Kailash 2 (GK2), New Delhi","Thai, Chinese, Sushi, Momos",12Noon to 11:30PM (Mon-Sun),1100,3,"Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Wifi', 'Outdoor Seating', 'Air Conditioned",4.8,Excellent,783,1373,-1,-1
Castle's Barbeque,Casual Dining,"3rd Floor, Pacific Mall, Tagore Garden, New Delhi",New Delhi,"Pacific Mall, Tagore Garden",28.64299796,77.10646335,"Pacific Mall, Tagore Garden, New Delhi","North Indian, Chinese, BBQ","12 Noon to 5 PM, 6:30 PM to 11 PM",1600,3,"Lunch', 'Serves Alcohol', 'Cash', 'Dinner', 'Mall Parking', 'Credit Card', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Buffet', 'Indoor Seating', 'Table booking recommended",4.4,Very Good,1038,1591,-1,-1
The Runway Project by PizzaExpress,Bar,"S 21A, 2nd Floor, Select City Walk, Saket, Delhi",New Delhi,"Select Citywalk Mall, Saket",28.528533,77.21907087,"Select Citywalk Mall, Saket, New Delhi","Italian, Continental",11 AM to 12 Midnight,2000,4,"Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Mall Parking', 'Delivery', 'Credit Card', 'Live Entertainment', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Nightlife', 'Live Music', 'Table booking recommended",4.1,Very Good,1671,1117,-1,-1
Master Of Malts,Casual Dining,"2nd Floor, Scindia House, Atma Ram Mansion, K.G. Marg, Connaught Place, New Delhi",New Delhi,Connaught Place,28.62979695,77.22119451,"Connaught Place, New Delhi","North Indian, Chinese",12 Noon to 1 AM,1600,3,"Credit Card', 'Cash', 'Dinner', 'Lunch', 'Debit Card', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Wifi', 'Indoor Seating', 'Above 18 Only', 'Axis Bank - Dining Delights', 'Live Sports Screening', 'Table booking recommended', 'Nightlife",4.5,Excellent,2257,3759,-1,-1
Al Jawahar,Casual Dining,"8, Opposite Gate 1, Matia Mahal Road, Jama Masjid, New Delhi",New Delhi,Jama Masjid,28.64940232,77.23346695,"Jama Masjid, New Delhi","Mughlai, North Indian, Kebab",7 AM to 12 Midnight,500,2,"Lunch', 'Cash', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required",4,Very Good,2945,2151,-1,-1
Nando's,Casual Dining,"Epicuria Food Mall, Nehru Place, New Delhi",New Delhi,"Epicuria Food Mall, Nehru Place",28.55140509,77.25165334,"Epicuria Food Mall, Nehru Place, New Delhi","Portuguese, Wraps, Burger, Salad",11:30am to 11pm (Mon-Sun),1200,3,"Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Mall Parking', 'Fullbar', 'Kid Friendly', 'Indoor Seating', 'Air Conditioned",4.3,Very Good,1211,785,-1,-1
