name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
The French Connection Cake Shop,Dessert Parlour,"27, Building 4, Evershine Millenium Paradise, Thakur Village, Kandivali East, Mumbai",Mumbai,Kandivali East,19.21083524,72.87445184,"Kandivali East, Mumbai","Bakery, Fast Food",11AM to 10:45PM (Mon-Sun),500,2,"No Seating Available', 'Debit Card', 'Credit Card', 'Delivery', 'Cash', 'Takeaway Available', 'No Alcohol Available', 'Desserts and Bakes', 'Air Conditioned",3.9,Good,445,392,-1,-1
Bakers & More,Bakery,"4, Twinkle Apartments, Andheri Lokhandwala, Andheri West, Mumbai",Mumbai,"Andheri Lokhandwala, Andheri West",19.14267613,72.82900315,"Andheri Lokhandwala, Andheri West, Mumbai","Bakery, Desserts",9 AM to 12:30 AM,300,1,"Cash', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Delivery', 'Air Conditioned', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes",3.9,Good,383,380,-1,-1
Chocolateria San Churro,Dessert Parlour,"Infiniti Mall Gate 3, Andheri Lokhandwala, Andheri West, Mumbai",Mumbai,"Andheri Lokhandwala, Andheri West",19.1413132,72.83096585,"Andheri Lokhandwala, Andheri West, Mumbai","Desserts, Cafe",9 AM to 1 AM,900,2,"No Seating Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Table booking recommended', 'Pure Veg', 'Desserts and Bakes",3.9,Good,1222,1749,-1,-1
Icekraft,Dessert Parlour,"Shop 5, Ground Floor, Natraj Boriwali CHS Society Limited, Sodawala Lane, Borivali West, Mumbai",Mumbai,Borivali West,19.23373218,72.85362951,"Borivali West, Mumbai","Desserts, Ice Cream",1 PM to 12:30 AM,300,1,"Takeaway Available', 'Credit Card', 'Debit Card', 'Cash', 'Delivery', 'Desserts and Bakes', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'Pure Veg', 'Indoor Seating",3.9,Skvělá volba,498,984,-1,-1
Mumbai Bistro - The Cafe,Cafe,"Shop 3, Sugee Sadan Building, Opposite To BMC School, Gokhale Road, Dadar West, Mumbai",Mumbai,Dadar West,19.01598446,72.83507634,"Dadar West, Mumbai","Cafe, Continental",11am to 12midnight (Mon-Sun),700,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted",3.9,Good,1241,1846,-1,-1
Birdsong - The Organic Cafe,Cafe,"Shop 1-5, Waroda Road, Hill Road, Bandra West",Mumbai,"Hill Road, Bandra West",19.05412031,72.82754704,"Hill Road, Bandra West, Mumbai","Cafe, Healthy Food, Beverages, Salad",9:30am to 11pm (Mon-Sun),1600,3,"Lunch', 'Cash', 'Delivery', 'Debit Card', 'Dinner', 'Takeaway Available', 'Credit Card', 'Breakfast', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Gluten Free Options', 'Vegan Options', 'All Day Breakfast', 'Indoor Seating', 'Table booking for Groups', 'Kid Friendly', 'Wifi', 'Serves Jain Food', 'Desserts and Bakes",3.9,Good,1799,1705,-1,-1
The Bagel Shop,Cafe,"30, Pali Mala Road, Carter Road, Bandra West",Mumbai,"Carter Road, Bandra West",19.06316235,72.82487355,"Carter Road, Bandra West, Mumbai","Cafe, American, Beverages",9 AM to 11 PM,900,2,"Lunch', 'Cash', 'Delivery', 'Credit Card', 'Breakfast', 'Dinner', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Free Wifi', 'Smoking Area', 'Serves Jain Food', 'Indoor Seating', 'Air Conditioned', 'Pet Friendly', 'Wifi', 'Vegan Options', 'All Day Breakfast",3.9,Good,1783,982,-1,-1
Zesto,Cafe,"1A, Tandon Mall, 127, Andheri Kurla Road, Andheri East, Chakala, Mumbai",Mumbai,Chakala,19.11271294,72.86444183,"Chakala, Mumbai","Healthy Food, Fast Food, Juices, Beverages",Mon-Sun (8 AM to 11 PM),600,2,"Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Indoor Seating', 'Axis Bank - Dining Delights', 'Wifi', 'Air Conditioned",3.9,Good,770,379,-1,-1
Panshikar,Quick Bites,"Gordhandas Building, Jagannath Shankar Sheth Road, Near Portugese Church, Girgaum, Mumbai",Mumbai,Girgaum,18.9551393,72.81905483,"Girgaum, Mumbai","Street Food, Mithai","9 AM to 9 PM (Mon-Sat), Sun Closed",250,1,"Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Pure Veg",3.9,Good,275,105,-1,-1
Kailash Mandir Lassi and Sweets,Sweet Shop,"Kasam Mitha Building, Naigaon Cross Road, Dada Saheb Phalke Marg, Dadar East, Mumbai",Mumbai,Dadar East,19.0165807,72.84315582,"Dadar East, Mumbai","Mithai, Beverages",8 AM to 11 PM,200,1,"Cash', 'No Alcohol Available', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes",3.9,Good,197,103,-1,-1
Jhama Sweets,Sweet Shop,"Ground Floor, Value Platinum, Seventh Road, Rajawadi, Vidya Vihar East, Ghatkopar East, Mumbai",Mumbai,Ghatkopar East,19.07721453,72.90321115,"Ghatkopar East, Mumbai","Mithai, Street Food",9 AM to 10 PM,150,1,"No Alcohol Available', 'Cash', 'Takeaway Available', 'No Seating Available', 'Delivery', 'Desserts and Bakes', 'Pure Veg",3.9,Good,38,34,-1,-1
The London Shakes,Beverage Shop,"Khau Galli, Ghatkopar East, Mumbai",Mumbai,Ghatkopar East,19.08047311,72.90445436,"Ghatkopar East, Mumbai","Beverages, Fast Food",2:30 PM to 12 Midnight,600,2,"Takeaway Available', 'Credit Card', 'Cash', 'Debit Card', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Air Conditioned",3.9,Good,256,171,-1,-1
Keventers,Beverage Shop,"Shop 4, Sai Elegance, Mahakali Caves Road, Mahakali, Mumbai",Mumbai,Mahakali,19.1227471,72.86426917,"Mahakali, Mumbai","Beverages, Desserts, Ice Cream",11 AM to ,400,1,"Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes",3.9,Good,202,145,-1,-1
Health Juice Centre,Quick Bites,"Shop 3, Sonas Tower, Next to St. Paul High School, Dr B A Road, Parel East, Parel, Mumbai",Mumbai,Parel,19.00702195,72.84133796,"Parel, Mumbai","Fast Food, Beverages",2:30 PM to 12:30 AM,500,2,"Delivery', 'Debit Card', 'Lunch', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Pure Veg', 'Indoor Seating",3.9,Good,100,182,-1,-1
Keventers,Beverage Shop,"Shop 43, 2nd Floor, Phoenix Market City, Lal Bahadur Shastri Marg, Kurla, Mumbai",Mumbai,"Phoenix Marketcity, Kurla",19.08651291,72.88943298,"Phoenix Marketcity, Kurla, Mumbai","Beverages, Desserts, Ice Cream",11 AM to 11 PM,400,1,"No Seating Available', 'Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Credit Card', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes",3.9,Good,110,115,-1,-1
Keventers,Beverage Shop,"248, Second Floor, Infiniti Mall, New Linking Road, Andheri Lokhandwala, Andheri West",Mumbai,"Andheri Lokhandwala, Andheri West",19.14124605,72.83125084,"Andheri Lokhandwala, Andheri West, Mumbai","Beverages, Desserts, Ice Cream",11 AM to 11 PM,400,1,"Delivery', 'Takeaway Available', 'Credit Card', 'Debit Card', 'No Seating Available', 'Cash', 'Pure Veg', 'Desserts and Bakes",3.9,Good,141,56,-1,-1
Smoothie Factory,Beverage Shop,"171, Saraswati Road, Santacruz West, Mumbai",Mumbai,Santacruz West,19.08153204,72.83606306,"Santacruz West, Mumbai","Beverages, Frozen Yogurt, Juices",9 AM to 11 PM,300,1,"No Seating Available', 'Cash', 'Takeaway Available', 'Delivery', 'Desserts and Bakes",3.9,Good,129,50,-1,-1
Orbango,Beverage Shop,"F/195, 1st Floor, Achija Hotel, Galleria Shopping Mall, Hiranandani Gardens Powai, Mumbai",Mumbai,"Galleria Shopping Centre, Powai",19.119285,72.911743,"Galleria Shopping Centre, Powai, Mumbai",Juices,Mon-Sun (11 AM to 11 PM),200,1,"Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Mall Parking', 'Outdoor Seating', 'Pure Veg",3.9,Good,79,78,-1,-1
Orbango,Beverage Shop,"Shop 10, Valeram Apartment, Evershine Nagar, Malad West, Mumbai",Mumbai,Malad West,19.193015,72.833547,"Malad West, Mumbai",Juices,11 AM to 11 PM,200,1,"No Alcohol Available', 'Lunch', 'Cash', 'Takeaway Available', 'No Seating Available', 'Dinner', 'Delivery', 'Pure Veg",3.9,Good,66,59,-1,-1
Orbango,Beverage Shop,"BDD Chawl 20, Next To Jambori Maidan Bus Stop, Dr. G.M.Bhosle Road, Mahindra Tower Road, Worli, Mumbai",Mumbai,Worli,19.00234048,72.81946521,"Worli, Mumbai",Juices,11 AM to 11 PM (Mon-Sun),200,1,"Cash', 'Takeaway Available', 'Delivery', 'Credit Card', 'Indoor Seating",3.9,Good,75,46,-1,-1
Orbango,Beverage Shop,"Shop 5, Sai Niwas Apartment, Opposite Muthoot Finance Corp, Marol Maroshi Road, Marol, Mumbai",Mumbai,Marol,19.11881904,72.88037248,"Marol, Mumbai",Juices,Mon-Sun (11 AM to 11 PM),200,1,"Cash', 'Delivery', 'No Seating Available', 'No Alcohol Available', 'Takeaway Available', 'Pure Veg",3.9,Good,70,44,-1,-1
Wok Express,Food Court,"Unit No. 03-04, Third Floor, Growel Mall 101, Akurli Road, Kandivali East, Mumbai",Mumbai,"Growel's 101 Mall, Kandivali East",19.20297214,72.85969868,"Growel's 101 Mall, Kandivali East, Mumbai","Chinese, Asian, Thai, Beverages",11 AM to 11 PM,600,2,"No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Mall Parking', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Axis Bank - Dining Delights', 'Indoor Seating', 'Table Reservation Not Required",3.9,Good,560,612,-1,-1
Zoodles - Oriental Street Wok,Food Court,"3rd Floor, Oberoi Mall, Off Western Express Highway, Goregaon East, Mumbai",Mumbai,"Oberoi Mall, Goregaon East",19.17372832,72.86014695,"Oberoi Mall, Goregaon East, Mumbai","Chinese, Asian, Momos",12 Noon to 11 PM,600,2,"Lunch', 'Dinner', 'No Alcohol Available', 'Mall Parking', 'Credit Card', 'Delivery', 'Air Conditioned', 'Table Reservation Not Required', 'Indoor Seating",3.9,Good,641,315,-1,-1
McDonald's,Quick Bites,"Food Court 15B, 16, 2nd Floor, Inorbit Mall, Link Road, Malad West, Mumbai",Mumbai,"Inorbit Mall, Malad West",19.17324064,72.83558059,"Inorbit Mall, Malad West, Mumbai","Burger, Fast Food, Beverages, Cafe, Desserts",10 AM to 11 PM,500,2,"Breakfast', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Mall Parking', 'Delivery', 'Credit Card', 'Sodexo', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted",3.9,Good,190,290,-1,-1
Garden Court Restaurant,Fine Dining,"Junction Of JP Road And Veera Desai Road, Azad Nagar Metro Station, Azad Nagar, Mumbai",Mumbai,Azad Nagar,19.12729941,72.83737868,"Azad Nagar, Mumbai","North Indian, Mughlai, Chinese",11:30 AM to 12 Midnight,1900,3,"Lunch', 'Cash', 'Credit Card', 'Dinner', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Delivery', 'Fullbar', 'Indoor Seating', 'Table Reservation Not Required', 'Buffet', 'Valet Parking Available', 'Air Conditioned', 'Serves Jain Food",3.9,Good,464,240,-1,-1
Garden Court Restaurant,Fine Dining,"167 - Malad - Marve Road, Orlem, Opposite HDFC Bank, Malad West, Mumbai",Mumbai,Malad West,19.19321676,72.84035794,"Malad West, Mumbai","Chinese, North Indian, Seafood",11:30 AM to 12 Midnight,2500,4,"Lunch', 'Serves Alcohol', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Fullbar', 'Table Reservation Not Required', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Buffet",3.9,Good,463,211,-1,-1
The Bar Stock Exchange,Pub,"Senapati Bapat Marg, Kamala Mills Compound, Lower Parel, Mumbai",Mumbai,Kamala Mills Compound,19.00309114,72.82860652,"Kamala Mills Compound, Mumbai","Continental, Chinese, North Indian, Italian, Mexican",12 Noon to 1:30 AM (Mon-Sun),1300,3,"Serves Alcohol', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Live Sports Screening', 'Fullbar', 'Restricted Entry', 'Wifi', 'LGBTQIA Friendly",3.9,Good,941,976,1,-1
