name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
Burger King,Quick Bites,"Unit 2, Ground Floor, Jainam Towers, Hotel Sitara Grand, L B Nagar Cross Roads, L B Nagar, Hyderabad",Hyderabad,L B Nagar,17.34603035,78.55244324,"L B Nagar, Hyderabad","Burger, Fast Food, Beverages",10 AM to 12 Midnight,500,2,"Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned', 'Wifi",3.9,Good,841,65,1,-1
Hotel Mukarram,Quick Bites,"Turab Nagar, Opposite Jama Masjid, Amberpet, Hyderabad",Hyderabad,Amberpet,17.39302304,78.5210691,"Amberpet, Hyderabad","Biryani, North Indian","12noon to 1am (Mon),12noon to 12midnight (Tue-Sun)",300,1,"Cash', 'Indoor Seating",4.2,Very Good,1196,15,1,-1
KFC,Quick Bites,"Ground Floor, Cinemax Building, RK Cineplex, Road 2, Banjara Hills, Hyderabad",Hyderabad,"RK Cineplex, Banjara Hills",17.42413004,78.42918567,"RK Cineplex, Banjara Hills, Hyderabad","Burger, Fast Food",11 AM to 11 PM,450,1,"Dinner', 'Debit Card', 'No Alcohol Available', 'Credit Card', 'Cash', 'Delivery', 'Lunch', 'Takeaway Available', 'Mall Parking', 'Air Conditioned', 'Wifi', 'Indoor Seating",3.7,Good,1177,69,1,-1
Olive Mithai Shop,Sweet Shop,"Ground Floor, Plot 8, Opposite Shilparamam, Rohini Layout, Hitech City, Hyderabad",Hyderabad,Hitech City,17.45206629,78.38099744,"Hitech City, Hyderabad","Mithai, Street Food",9 AM to 10 PM (Mon-Sun),200,1,"Dinner', 'Cash', 'Delivery', 'Lunch', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes', 'Air Conditioned', 'Wifi",4.3,Very Good,1038,127,1,-1
Pista House,Quick Bites,"Opposite R.T.A Office, Yousuf Tekri Complex, Tolichowki, Hyderabad",Hyderabad,Tolichowki,17.3967974,78.42437278,"Tolichowki, Hyderabad","Fast Food, Desserts, Beverages",12 Noon to 12 Midnight,550,2,"Cash', 'No Alcohol Available', 'Debit Card', 'Dinner', 'Credit Card', 'Air Conditioned', 'Indoor Seating', 'Desserts and Bakes",4.3,Very Good,906,303,-1,-1
Jaggi De Paranthe,Quick Bites,"Above YLG, 2nd Floor, Auronodaya Coop Housing, Hitech City, Hyderabad",Hyderabad,Hitech City,17.4449295,78.3860923,"Hitech City, Hyderabad","North Indian, Chinese","12 Noon to 4 PM, 7 PM to 11 PM",600,2,"Cash', 'Takeaway Available', 'Lunch', 'Debit Card', 'Delivery', 'No Alcohol Available', 'Dinner', 'Indoor Seating', 'Self Service', 'Serves Jain Food', 'Digital Payments Accepted', 'Air Conditioned', 'Pure Veg",4.1,Very Good,1032,698,-1,-1
Friends Shawarma,Quick Bites,"Nagarjuna Cross Road, Road 3, Banjara Hills, Hyderabad",Hyderabad,Banjara Hills,17.42617542,78.44839867,"Banjara Hills, Hyderabad",Arabian,1 PM to 12 Midnight,150,1,"Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Indoor Seating",4.2,Very Good,1710,41,1,-1
"N Grills - Shawarma, Kebabs & Barbeque",Quick Bites,"Plot 61, Sri Sai Colony, Mansoorabad, Chitraseema Nagar, Vanasthalipuram, Hyderabad",Hyderabad,Vanasthalipuram,17.34246456,78.57163947,"Vanasthalipuram, Hyderabad","Chinese, Mughlai",11:30am to 11pm (Mon-Sun),350,1,"Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Free Parking', 'Indoor Seating",3.8,Good,816,8,1,-1
Domino's Pizza,Quick Bites,"Shop 5B, Ground Floor, Prajay Princeton Towers, Beside Indoor Stadium, L B Nagar, Hyderabad",Hyderabad,L B Nagar,17.35498004,78.54531694,"L B Nagar, Hyderabad","Pizza, Fast Food",10:57 AM to 3 AM,400,1,"Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned",3.5,Good,803,62,-1,-1
Lip 'N' Licks Food Court,Quick Bites,"Opposite ICICI Bank & Syndicate Bank, Ganesh Temple Road, Vanasthalipuram, Hyderabad",Hyderabad,Vanasthalipuram,17.33365315,78.56958456,"Vanasthalipuram, Hyderabad","Street Food, Chinese",2:30 PM to 11 PM,350,1,"Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Desserts and Bakes', 'Indoor Seating",4,Very Good,858,14,1,-1
A-1 Chicken Pakoda Point,Quick Bites,"Plot 6-32, Bhavani Nagar, Dilsukhnagar, Hyderabad",Hyderabad,Dilsukhnagar,17.37209672,78.52417041,"Dilsukhnagar, Hyderabad",Biryani,12 Noon to 11 PM,300,1,"Takeaway Available', 'Lunch', 'Cash', 'Delivery', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Indoor Seating",4,Very Good,1318,19,1,-1
KFC,Quick Bites,"Lower Ground Floor, Phoenix Tower A, Opposite Trident Hotel, Hitech City, Hyderabad",Hyderabad,Hitech City,17.44807876,78.37874003,"Hitech City, Hyderabad","Burger, Fast Food",11 AM to 11 PM,450,1,"Cash', 'Debit Card', 'Delivery', 'No Alcohol Available', 'Lunch', 'Credit Card', 'Takeaway Available', 'Dinner', 'Indoor Seating', 'Digital Payments Accepted",3.6,Good,1305,41,1,-1
KFC,Quick Bites,"The Grand Tower, Raj Bhavan Road, Somajiguda, Hyderabad",Hyderabad,Somajiguda,17.42278009,78.46237231,"Somajiguda, Hyderabad","Burger, Fast Food",11 AM to 11 PM,450,1,"Cash', 'Takeaway Available', 'Lunch', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Dinner', 'Indoor Seating', 'Wifi', 'Air Conditioned",3.9,Good,964,78,1,-1
New Astoria Restaurant,Quick Bites,"Opposite Sandhya Theatre, RTC Cross Road, Nallakunta, Hyderabad",Hyderabad,Nallakunta,17.40645165,78.49719644,"Nallakunta, Hyderabad","Biryani, Street Food, Chinese",7 AM to 11 PM,450,1,"Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Air Conditioned",3.8,Good,987,65,1,-1
Govind Dosa,Quick Bites,"Gulzar Hauz, Opposite Agra Sweets, Ghansi Bazaar, Hyderabad",Hyderabad,Ghansi Bazaar,17.36404897,78.47381528,"Ghansi Bazaar, Hyderabad",South Indian,6:30 AM to 3 PM,300,1,"Cash', 'No Alcohol Available', 'Credit Card', 'Takeaway Available', 'Breakfast', 'Lunch', 'Pure Veg', 'Indoor Seating",4.1,Very Good,995,192,-1,-1
Sri Kanya,Quick Bites,"Near Model House, Dwarkapuri, Panjagutta Road, Panjagutta, Hyderabad",Hyderabad,Panjagutta,17.4241969,78.45354315,"Panjagutta, Hyderabad","Chinese, Kerala, Andhra","11 AM to 3:30 PM, 6:30 PM to 11 PM",500,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating",4.3,Very Good,1271,70,-1,-1
Swathi Mess & Dhaba,Quick Bites,"5-1-425, Jambagh, Near Old Arvind Lodge, Lane Opposite Patthar Ke Masjid, Koti, Hyderabad",Hyderabad,Koti,17.38237908,78.48036826,"Koti, Hyderabad","North Indian, South Indian",10:30 AM to 12:30 AM (Mon-Sun),250,1,"Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating', 'Pure Veg",4.2,Very Good,1233,21,1,-1
