Place,City,State,Full Address,Latitude,Longitude,Rating,Open Time,Close Time,Best Time to Visit,Type,Avg time spent,Avg Cost,Free/Paid,Images
Colaba Causeway Market,Mumbai,Maharashtra,"Colaba Causeway Market Colaba, Mumbai Maharashtra ",18.9172018,72.8286193,3.5,11:00,22:00,"10:00AM-10:00PM, Open on all days",Shopping,2.5,0,0,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca40
Gateway of India,Mumbai,Maharashtra,Gateway of India Mumbai Maharashtra ,18.9219841,72.8346543,4.6,11:00,19:00,"Late evening and night, Can also see the Taj Hotels.",Heritage,0.5,0,0,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca41
Cafe Leopold,Mumbai,Maharashtra,"Cafe Leopold Colaba, Mumbai Maharashtra ",18.9226402,72.8316401,4.3,7:30,23:59,"7:30AM-12:00AM, Open on all days",Food,0.5,500,1,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca42
Bademiya,Mumbai,Maharashtra,Bademiya Mumbai Maharashtra ,18.9233162,72.8325517,4,12:00,4:00,,Food,1,500,1,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca43
Holy Name Cathedral,Mumbai,Maharashtra,Holy Name Cathedral Mumbai Maharashtra ,18.9233592,72.8306699,4.2,7:30,18:30,,Religious,0.5,0,0,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca44
Nariman Point,Mumbai,Maharashtra,Nariman Point Mumbai Maharashtra ,18.9255728,72.8242221,4,0:00,0:00,"12:00AM-12:00PM, Open on all days",Beaches,0.33,0,0,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca45
National Gallery of Modern art,Mumbai,Maharashtra,"National Gallery of Modern art Fort, Mumbai Maharashtra ",18.9257724,72.8314466,3.8,11:00,18:30,Closed on Monday,Art & Museum,1.5,20,1,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca46
Prince of Wales Museum,Mumbai,Maharashtra,"Prince of Wales Museum Fort, Mumbai Maharashtra ",18.9269015,72.8326916,4.9,10:15,17:00,"10:15AM-5:00PM, Closed on Mondays",Art & Museum,1.5,30,1,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca47
Jehangir Art Gallery,Mumbai,Maharashtra,"Jehangir Art Gallery Fort, Mumbai Maharashtra ",18.9273983,72.8316856,3,11:00,19:00,"11:00AM-7:00PM, Oen on all days",Art & Museum,0.5,0,0,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca48
Keneseth Eliyahoo Synagogue,Mumbai,Maharashtra,Keneseth Eliyahoo Synagogue Mumbai Maharashtra ,18.9281033,72.8325519,4.5,11:00,17:30,,Religious,0.33,0,0,https://s.yimg.com/ny/api/res/1.2/gts9lRWMvRWAcVXhlnODCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MQ--/https://media.zenfs.com/en/nerdist_761/2d47d0794ed390d7807134077817ca49
